EpochTime,Latitude,Longitude,Altitude,Satellite,PDOP,Speed,Heading,AccX,AccY,AccZ,RotX,RotY,RotZ,Pitch,Roll,Temp,Session,Step,CRC,Count,t,dt,gps_distance,speed_gps,speed_error,speed_flag
2026-04-02 17:32:02.300,48.24764252,16.37302399,165.2070007,9,2.49000001,0.017,101.3619385,38,-52,7982,4,31,-90,1.5389154,-1.15237224,-4848,7,3,37472,43530,1775151122.3,0.5,0.0,0.0,0.017,False
2026-04-02 17:32:02.800,48.24764252,16.37302399,165.1159973,9,2.49000001,0.024,101.3619385,-52,-70,7898,-1,50,-96,1.54957449,-1.10803151,-4864,7,3,53313,43531,1775151122.8,0.5,0.0,0.0,0.024,False
2026-04-02 17:32:03.300,48.24764252,16.37302399,165.0509949,9,2.49000001,0.077,50.90792084,58,-76,7930,-5,42,-100,1.53358853,-1.06415594,-4624,7,3,28521,43532,1775151123.3,0.5,0.0,0.0,0.077,False
2026-04-02 17:32:03.800,48.24764633,16.37302399,164.9730072,9,2.49000001,0.046,18.68366051,-22,-56,7908,-14,47,-104,1.48743975,-1.01331306,-5120,7,3,43397,43533,1775151123.8,0.5,0.42365267074795376,0.8473053414959075,-0.8013053414959075,False
2026-04-02 17:32:04.300,48.24764633,16.37302589,164.8849945,9,2.49000001,0.029,18.68366051,30,-106,7832,-10,35,-98,1.4785682,-0.99919581,-5120,7,3,15267,43534,1775151124.3,0.5,0.14068753453887797,0.28137506907775595,-0.2523750690777559,False
2026-04-02 17:32:04.800,48.24764633,16.37302399,164.8829956,9,2.49000001,0.064,18.68366051,32,-94,7926,2,47,-99,1.48642397,-0.9729141,-5120,7,3,48558,43535,1775151124.8,0.5,0.14068753453887797,0.28137506907775595,-0.21737506907775594,False
2026-04-02 17:32:05.300,48.24764633,16.37302399,164.7590027,9,2.49000001,0.20999999,318.4118347,32,-112,7950,-9,46,-102,1.51333284,-0.82313788,-4864,7,3,4291,43536,1775151125.3,0.5,0.0,0.0,0.20999999,False
2026-04-02 17:32:05.800,48.24764633,16.37302589,164.75,9,2.49000001,0.113,269.132782,70,-80,7926,-1,60,-106,1.52070975,-0.86251402,-4880,7,3,11290,43537,1775151125.8,0.5,0.14068753453887797,0.28137506907775595,-0.16837506907775596,False
2026-04-02 17:32:06.300,48.24764633,16.37302589,164.7630005,10,2.46000004,0.139,341.9213562,80,-94,7940,-11,46,-100,1.51294577,-0.86623275,-4864,7,3,61613,43538,1775151126.3,0.5,0.0,0.0,0.139,False
2026-04-02 17:32:06.800,48.24764633,16.37302399,164.8209992,10,2.46000004,0.045,341.9213562,10,-100,7864,0,27,-86,1.49507332,-0.90611374,-4896,7,3,6680,43539,1775151126.8,0.5,0.14068753453887797,0.28137506907775595,-0.23637506907775596,False
2026-04-02 17:32:07.300,48.24764633,16.37302399,164.9060059,10,2.46000004,0.077,341.9213562,28,-128,7986,-9,46,-101,1.49368167,-0.93786913,-4880,7,3,14708,43540,1775151127.3,0.5,0.0,0.0,0.077,False
2026-04-02 17:32:07.800,48.24764633,16.37302399,165.0249939,10,2.46000004,0.044,341.9213562,4,-82,7822,1,41,-99,1.48575544,-0.92400104,-4896,7,3,63273,43541,1775151127.8,0.5,0.0,0.0,0.044,False
2026-04-02 17:32:08.300,48.24765015,16.37302399,165.1260071,14,1.64999998,0.101,345.0429688,28,-108,7908,9,36,-98,1.49095428,-0.92266321,-4880,7,3,49680,43542,1775151128.3,0.5,0.4247646194246446,0.8495292388492892,-0.7485292388492892,False
2026-04-02 17:32:08.800,48.24765015,16.37302208,165.3150024,14,1.64999998,0.022,345.0429688,20,-134,7986,-4,51,-95,1.51200497,-1.06995201,-4624,7,3,48696,43543,1775151128.8,0.5,0.14142798476138305,0.2828559695227661,-0.2608559695227661,False
2026-04-02 17:32:09.300,48.24765015,16.37302208,165.5130005,14,1.64999998,0.079,345.0429688,8,-100,7874,-8,42,-107,1.5165453,-1.02709675,-4896,7,3,5964,43544,1775151129.3,0.5,0.0,0.0,0.079,False
2026-04-02 17:32:09.800,48.24765396,16.37302208,165.6799927,14,1.94000006,0.066,345.0429688,-32,-146,7914,-9,48,-97,1.52900648,-1.16712701,-4912,7,3,49979,43545,1775151129.8,0.5,0.42365267074795376,0.8473053414959075,-0.7813053414959075,False
